Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
KEEK02_0001	244962	67436	92887	84639	0.28	0.38	0.35
KEEK02_0002	320926	92684	143384	84858	0.29	0.45	0.26
KEEK02_0003	297859	89582	142959	65318	0.30	0.48	0.22
KEEK02_0004	263027	79737	130565	52725	0.30	0.50	0.20
KEEK02_0005	284616	77930	113175	93511	0.27	0.40	0.33
KEEK02_0006	291600	87751	137316	66533	0.30	0.47	0.23
KEEK02_0007	328243	98491	152376	77376	0.30	0.46	0.24
KEEK02_0008	360661	106351	165004	89306	0.29	0.46	0.25
KEEK02_0009	277646	71554	95033	111059	0.26	0.34	0.40
KEEK02_0010	323997	98061	151598	74338	0.30	0.47	0.23
KEEK02_0011	250470	75158	117915	57397	0.30	0.47	0.23
KEEK02_0012	299208	82998	119430	96780	0.28	0.40	0.32
KEEK02_0013	284512	88120	140003	56389	0.31	0.49	0.20
KEEK02_0014	263794	79471	128708	55615	0.30	0.49	0.21
KEEK02_0015	301258	90321	140219	70718	0.30	0.47	0.23
KEEK02_0016	260994	79115	120872	61007	0.30	0.46	0.23
KEEK02_0017	221947	65942	97874	58131	0.30	0.44	0.26
KEEK02_0018	283431	81060	117314	85057	0.29	0.41	0.30
KEEK05_0001	236734	76702	134907	25125	0.32	0.57	0.11
KEEK05_0002	323163	106222	185699	31242	0.33	0.57	0.10
KEEK05_0003	255264	83342	153270	18652	0.33	0.60	0.07
KEEK05_0004	293003	92951	158682	41370	0.32	0.54	0.14
KEEK05_0005	287017	96007	175744	15266	0.33	0.61	0.05
KEEK05_0006	281291	94395	169683	17213	0.34	0.60	0.06
KSALM95_0001	214426	65996	97386	51044	0.31	0.45	0.24
KSALM95_0002	268105	79851	119791	68463	0.30	0.45	0.26
KSALM95_0003	262009	75601	101045	85363	0.29	0.39	0.33
KSALM95_0004	287730	76770	109503	101457	0.27	0.38	0.35
KSALM95_0005	272388	78555	120337	73496	0.29	0.44	0.27
KSALM95_0006	315592	77677	98192	139723	0.25	0.31	0.44
KSALM95_0007	320508	86469	120009	114030	0.27	0.37	0.36
KSALM95_0008	297233	87990	128656	80587	0.30	0.43	0.27
KSALM95_0009	270288	79792	112820	77676	0.30	0.42	0.29
