Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Ots_100884-287	11493	11089	0.96
Ots_101554-407	159753	13437	0.08
Ots_101704-143	11451	9416	0.82
Ots_102213-210	3696	2546	0.69
Ots_102414-395	14445	2820	0.20
Ots_102457-132	10532	5293	0.50
Ots_102801-308	7654	5452	0.71
Ots_102867-609	23716	19726	0.83
Ots_103041-52	24261	19421	0.80
Ots_103122-180	1413901	14801	0.01
Ots_104048-194	17652	6193	0.35
Ots_104415-88	6443	6179	0.96
Ots_104569-86	4130	2548	0.62
Ots_105105-613	4608	3839	0.83
Ots_105132-200	28781	13125	0.46
Ots_105897-124	2809	2108	0.75
Ots_106419b-618	56645	11926	0.21
Ots_106499-70	10068	9027	0.90
Ots_106747-239	15650	11804	0.75
Ots_107074-284	7276	6771	0.93
Ots_107806-821	11358	4370	0.38
Ots_108007-208	24618	18023	0.73
Ots_108390-329	7483	7027	0.94
Ots_108735-302	4659	4002	0.86
Ots_108820-336	4344	4217	0.97
Ots_109525-816	10492	10086	0.96
Ots_109693-392	13968	13062	0.94
Ots_110064-383	12321	10706	0.87
Ots_110201-363	5301	4141	0.78
Ots_110551-64	8011	7767	0.97
Ots_110689-218	3839	3601	0.94
Ots_111084b-619	3810	3644	0.96
Ots_111312-435	19923	19098	0.96
Ots_112208-722	1663	1538	0.92
Ots_112301-43	8142	7562	0.93
Ots_112419-131	6517	5552	0.85
Ots_112876-371	11311	10689	0.95
Ots_113242-216	8646	8393	0.97
Ots_113457-40R	11551	4076	0.35
Ots_115987-325	27162	8539	0.31
Ots_117242-136	520057	9872	0.02
Ots_117432-409	11343	10316	0.91
Ots_118175-479	9866	8717	0.88
Ots_118938-325	11975	11461	0.96
Ots_120950-417	25319	12059	0.48
Ots_123048-521	11260	10950	0.97
Ots_123921-111	8108	5909	0.73
Ots_126619-400	6418	6146	0.96
Ots_127236-62	5862	3742	0.64
Ots_127760-569	9436	6227	0.66
Ots_128302-57	7663	5649	0.74
Ots_128693-461	10471	10040	0.96
Ots_128757-61R	9683	9405	0.97
Ots_129458-451	23917	21754	0.91
Ots_130720-99	13785	13514	0.98
Ots_131460-584	7205	6732	0.93
Ots_131802-393	11607	8852	0.76
Ots_131906-141	382973	11661	0.03
Ots_94857-232R	16536	15285	0.92
Ots_94903-99R	7572	6910	0.91
Ots_95442b-204	11217	10705	0.95
Ots_96222-525	5169	5061	0.98
Ots_96500-180	10775	9597	0.89
Ots_96899-357R	4967	4303	0.87
Ots_97660-56	7615	7388	0.97
Ots_98409-850	7003	6699	0.96
Ots_99550-204	12993	6585	0.51
Ots_AldB1-122	3757	2633	0.70
Ots_AldoB4-183	10042	9488	0.94
Ots_brp16-64	18810	17107	0.91
Ots_CCR7	13330	9524	0.71
Ots_CD59-2	18594	11535	0.62
Ots_CD63	13614	11996	0.88
Ots_cgo24-22	21243	20082	0.95
Ots_Chin30up-211	6909	4866	0.70
Ots_CirpA	8149	7809	0.96
Ots_cox1-241	11555	11137	0.96
Ots_crRAD10447-25	3337	2310	0.69
Ots_crRAD11620-55	14344	9954	0.69
Ots_crRAD12037-39	60318	8794	0.15
Ots_crRAD16540-50	21673	21184	0.98
Ots_crRAD17527-58	1503	1398	0.93
Ots_crRAD20262-46	33345	16269	0.49
Ots_crRAD20376-66	26029	18226	0.70
Ots_crRAD21115-24	12362	10126	0.82
Ots_crRAD22960-32	103234	26631	0.26
Ots_crRAD25367-50	233913	14791	0.06
Ots_crRAD255-59	112357	16963	0.15
Ots_crRAD26165-69	13179	12535	0.95
Ots_crRAD27164-55	9190	8733	0.95
Ots_crRAD27515-69	25035	20632	0.82
Ots_crRAD2806-42	14846	4799	0.32
Ots_crRAD28677-65	5927	2969	0.50
Ots_crRAD33054-62	88583	20997	0.24
Ots_crRAD33491-71	27404	26700	0.97
Ots_crRAD34397-33	55409	28912	0.52
Ots_crRAD36072-29	109798	8957	0.08
Ots_crRAD3758-51	16276	10772	0.66
Ots_crRAD42058-48	21235	3611	0.17
Ots_crRAD44588-67	40846	36524	0.89
Ots_crRAD47297-55	21226	19935	0.94
Ots_crRAD5061-27	15907	6374	0.40
Ots_crRAD57376-68	6780	5115	0.75
Ots_crRAD57520-66	16801	15663	0.93
Ots_crRAD57537-24	40642	5560	0.14
Ots_crRAD60620-51	38566	16482	0.43
Ots_crRAD66330-60	12509	12030	0.96
Ots_crRAD69327-53	25132	22292	0.89
Ots_crRAD73823-60	21416	20756	0.97
Ots_crRAD74766-28	27180	15931	0.59
Ots_crRAD75581-70	25352	21199	0.84
Ots_crRAD76512-28	56154	19785	0.35
Ots_DESMIN19-SNP1	21236	12496	0.59
Ots_E2-275	14730	13073	0.89
Ots_EP-529	15772	9655	0.61
Ots_Est1363	19415	2858	0.15
Ots_Est740	10629	9211	0.87
Ots_ETIF1A	44050	9363	0.21
Ots_FARSLA-220	7246	7050	0.97
Ots_FGF6A	3884	3452	0.89
Ots_FGF6B_1	13470	7729	0.57
Ots_GDH-81x	13663	9421	0.69
Ots_GH2	24260	21132	0.87
Ots_GPDH-338	5497	1755	0.32
Ots_GPH-318	16079	14845	0.92
Ots_GST-207	15552	14550	0.94
Ots_GTH2B-550	7899	7388	0.94
Ots_HFABP-34	29031	11970	0.41
Ots_hnRNPL-533	11083	10417	0.94
Ots_hsc71-3'-488	8860	8450	0.95
Ots_hsp27b-150	13324	7745	0.58
Ots_Hsp90a	9469	9037	0.95
Ots_HSP90B-100	16173	15277	0.94
Ots_HSP90B-385	144823	31277	0.22
Ots_hsp90BA-252	16324	15804	0.97
Ots_IGF-I.1-76	9327	5674	0.61
Ots_Ikaros-250	8928	6713	0.75
Ots_IL11	33948	15188	0.45
Ots_il-1racp-166	20961	18884	0.90
Ots_ins-115	28379	27385	0.96
Ots_IsoT	280322	9312	0.03
Ots_LEI-292	11682	7256	0.62
Ots_LWSop-638	21080	12271	0.58
Ots_mapK-3'-309	12165	9035	0.74
Ots_mapKpr-151	25242	9284	0.37
Ots_MHC1	9675	9047	0.94
Ots_MHC2	84356	11893	0.14
Ots_mybp-85	4444	4088	0.92
Ots_myo1a-384	17689	16382	0.93
Ots_NAML12-SNP1	4078	3510	0.86
Ots_nelfd-163	8377	5164	0.62
Ots_nkef-192	5769	5594	0.97
Ots_NOD1	10430	9253	0.89
Ots_nramp-321	9467	7265	0.77
Ots_ntl-255	21884	8006	0.37
Ots_Ostm1	24309	15169	0.62
Ots_P450	2327	2240	0.96
Ots_P450-288	16441	9226	0.56
Ots_P53	16624	16004	0.96
Ots_parp3-286	9647	5202	0.54
Ots_PEMT	8624	6243	0.72
Ots_pigh-105	3432	2796	0.81
Ots_pop5-96	8514	8127	0.95
Ots_ppie-245	133560	6900	0.05
Ots_Prl2	7461	6944	0.93
Ots_RAD10400	29139	15642	0.54
Ots_RAD10412	9880	8879	0.90
Ots_RAD10515	54118	27233	0.50
Ots_RAD10583	8358	8100	0.97
Ots_RAD1072	6523	6225	0.95
Ots_RAD10807	42566	21599	0.51
Ots_RAD1104-38	41342	18787	0.45
Ots_RAD11425	21466	17000	0.79
Ots_RAD11441	43702	23218	0.53
Ots_RAD1149	6042	5380	0.89
Ots_RAD11821	5476	5042	0.92
Ots_RAD11839	10460	6877	0.66
Ots_RAD12182	157736	13049	0.08
Ots_RAD1372	8971	8668	0.97
Ots_RAD14482	27881	27163	0.97
Ots_RAD14528	5048	4897	0.97
Ots_RAD14650	13554	11225	0.83
Ots_RAD14852	57201	37702	0.66
Ots_RAD1507	60041	20190	0.34
Ots_RAD1510	14758	12323	0.84
Ots_RAD15440	32540	30935	0.95
Ots_RAD161	42984	23385	0.54
Ots_RAD16976	19206	15491	0.81
Ots_RAD17721	26575	13955	0.53
Ots_RAD17873	21032	20222	0.96
Ots_RAD1832-39	10912	10320	0.95
Ots_RAD18973	27061	22421	0.83
Ots_RAD2068	15737	15460	0.98
Ots_RAD21143	16804	15914	0.95
Ots_RAD2150	6128	5358	0.87
Ots_RAD21978	18915	17643	0.93
Ots_RAD2207	12349	11625	0.94
Ots_RAD22318	23717	22483	0.95
Ots_RAD2234	62295	38360	0.62
Ots_RAD2442	13332	12835	0.96
Ots_RAD249	24901	24462	0.98
Ots_RAD2598	6014	5397	0.90
Ots_RAD2677	4011	2383	0.59
Ots_RAD2683	7701	7236	0.94
Ots_RAD2856	6498	6326	0.97
Ots_RAD3123	15724	15041	0.96
Ots_RAD3386	31825	27592	0.87
Ots_RAD3391	0	0	NA
Ots_RAD3425	10838	9570	0.88
Ots_RAD3470	11626	9835	0.85
Ots_RAD3513-49	17109	13685	0.80
Ots_RAD3635	10273	8201	0.80
Ots_RAD3737	20122	19430	0.97
Ots_RAD3766	12236	11808	0.97
Ots_RAD3858	64195	54644	0.85
Ots_RAD3925	19422	10195	0.52
Ots_RAD4043	151310	19862	0.13
Ots_RAD4185	34190	19097	0.56
Ots_RAD4369-50	10481	10232	0.98
Ots_RAD4438	15230	14368	0.94
Ots_RAD4543-52	15561	14772	0.95
Ots_RAD4778	207212	15941	0.08
Ots_RAD4999	4393	4079	0.93
Ots_RAD5426-36	8238	7415	0.90
Ots_RAD5429	78644	4313	0.05
Ots_RAD5848	39536	38749	0.98
Ots_RAD6097	19224	18150	0.94
Ots_RAD6121	24735	21988	0.89
Ots_RAD6184	32532	30001	0.92
Ots_RAD6618-57	17623	16871	0.96
Ots_RAD6688	24836	24174	0.97
Ots_RAD6755	13741	13119	0.95
Ots_RAD679	14394	9281	0.64
Ots_RAD7145	439783	20223	0.05
Ots_RAD7165	21657	20895	0.96
Ots_RAD7936-50	43968	4832	0.11
Ots_RAD8200-45	53725	14724	0.27
Ots_RAD8354	267357	13871	0.05
Ots_RAD856	2680	2597	0.97
Ots_RAD8560	13021	11329	0.87
Ots_RAD9039	17506	17213	0.98
Ots_RAD9480-51	21685	14081	0.65
Ots_RAD9536	160732	27643	0.17
Ots_RAD9704	15581	15056	0.97
Ots_RAD9756	6148	5929	0.96
Ots_RAD995	107799	2981	0.03
Ots_RAD9970	7727	7539	0.98
Ots_RAG3	6590	4403	0.67
Ots_redd1-187	7405	7217	0.97
Ots_S7-1	5887	5682	0.97
Ots_SClkF2R2-135	15511	13396	0.86
Ots_SERPC1-209	4270	3664	0.86
Ots_SL	6758	5626	0.83
Ots_SWS1op-182	5261	5016	0.95
Ots_TAPBP	63406	15649	0.25
Ots_TCTA-58	10890	5665	0.52
Ots_TF1-SNP1	10606	10162	0.96
Ots_Tf-3545	20022	19496	0.97
Ots_TGFB	12760	6985	0.55
Ots_Thio	3637	3161	0.87
Ots_TNF	22324	19399	0.87
Ots_Tnsf	12888	12338	0.96
Ots_tpx2-125	63091	7506	0.12
Ots_txnip-321	10903	10558	0.97
Ots_u07-07.161	4340	4198	0.97
Ots_u07-17.135	6907	6727	0.97
Ots_u07-17.373	196037	8169	0.04
Ots_u07-18.378	12317	11781	0.96
Ots_u07-25.325	9046	6090	0.67
Ots_u07-49.290	11188	6922	0.62
Ots_u07-53.133	9389	8880	0.95
Ots_u1002-75	48192	30140	0.63
Ots_u1004-117	16281	15945	0.98
Ots_u1006-171	4856	3985	0.82
Ots_u1007-124	10480	10213	0.97
Ots_u202-161	4903	4284	0.87
Ots_u211-85	7562	7244	0.96
Ots_U2305-63	3504	3213	0.92
Ots_U2362-227	26409	25777	0.98
Ots_U2362-330	9185	8899	0.97
Ots_U2446-123	9050	8710	0.96
Ots_U2567-104	7271	6927	0.95
Ots_u4-92	9603	9332	0.97
Ots_U5049-250	15238	14436	0.95
Ots_U5121-34	6789	6335	0.93
Ots_u6-75	3808	3446	0.90
Ots_unk526	65465	29025	0.44
Ots_zn593-346	4655	4395	0.94
Ots_ZNF330-181	53422	52426	0.98
Ots_zP3b-215	4101	3870	0.94
Ots_ZR-575	73036	1846	0.03
RAD100237	14113	10037	0.71
RAD10049	39364	22360	0.57
RAD10100	8096	7985	0.99
RAD10269	4316	3645	0.84
RAD103380	34312	26276	0.77
RAD103394	31355	29192	0.93
RAD10467	49465	25991	0.53
RAD104974	23491	20931	0.89
RAD105150	49402	48420	0.98
RAD10653	19350	18928	0.98
RAD106699	12196	10886	0.89
RAD10672	13306	12482	0.94
RAD106862	139085	78307	0.56
RAD10694	60993	24992	0.41
RAD108943	201962	193720	0.96
RAD10924	29334	29165	0.99
RAD109411	34915	31616	0.91
RAD109432	10698	9873	0.92
RAD11066	11325	3691	0.33
RAD111430	17740	15641	0.88
RAD111869	45863	43519	0.95
RAD112461	10695	10280	0.96
RAD113057	64036	12607	0.20
RAD113669	6470	6288	0.97
RAD11391	24482	3406	0.14
RAD11494	24313	23890	0.98
RAD11883	124791	19917	0.16
RAD121111	31543	30945	0.98
RAD12225	30045	29462	0.98
RAD12343	28054	15709	0.56
RAD12673	49326	39949	0.81
RAD12688	38135	29631	0.78
RAD13045	10409	1366	0.13
RAD13115	23159	22795	0.98
RAD13435	56380	13837	0.25
RAD13448	7255	7086	0.98
RAD13687	26257	25334	0.96
RAD13711	18787	16151	0.86
RAD13755	33880	33251	0.98
RAD13969	138824	138424	1.00
RAD14092	37154	12843	0.35
RAD14152	14681	14479	0.99
RAD14219	2528	2406	0.95
RAD14463	33705	30879	0.92
RAD14720	24450	23765	0.97
RAD14738	9690	7424	0.77
RAD14946	53928	53818	1.00
RAD15284	6654	6226	0.94
RAD15416	6495	5909	0.91
RAD15618	29550	29039	0.98
RAD15684	38983	30520	0.78
RAD16021	14430	12304	0.85
RAD16038	20670	19641	0.95
RAD16161	43605	30438	0.70
RAD16169	11583	7439	0.64
RAD1622	23402	22618	0.97
RAD16441	36198	24418	0.67
RAD1650	32923	32033	0.97
RAD16502	15877	15018	0.95
RAD16523	24817	24443	0.98
RAD16644	98104	15396	0.16
RAD17027	10523	9687	0.92
RAD17338	27840	26943	0.97
RAD17420	3237	3128	0.97
RAD17568	40087	36191	0.90
RAD17570	8918	8700	0.98
RAD17633	92988	85104	0.92
RAD1767	21032	20040	0.95
RAD17684	5758	4334	0.75
RAD17711	36667	35648	0.97
RAD17961	3696	2498	0.68
RAD18012	36324	36145	1.00
RAD18047	589598	8011	0.01
RAD18048	59066	54849	0.93
RAD18289	6673	5114	0.77
RAD18527	22011	21180	0.96
RAD18602	12184	7542	0.62
RAD18777	140662	19600	0.14
RAD18806	34329	29414	0.86
RAD19033	28087	26500	0.94
RAD19034	9847	9656	0.98
RAD19080	20733	10499	0.51
RAD19162	32727	4604	0.14
RAD19423	11358	10874	0.96
RAD19429	24380	18528	0.76
RAD19444	24788	24663	0.99
RAD19451	21111	20681	0.98
RAD19594	39236	32046	0.82
RAD19707	8483	7368	0.87
RAD19731	11842	11564	0.98
RAD20110	20111	19348	0.96
RAD20459	5853	3532	0.60
RAD21210	10273	10169	0.99
RAD21363	19147	18646	0.97
RAD21392	79963	8335	0.10
RAD21430	1531	506	0.33
RAD21617	19742	17021	0.86
RAD21678	2272	1891	0.83
RAD21800	188959	18346	0.10
RAD22043	119822	34217	0.29
RAD22064	66133	48527	0.73
RAD22283	19835	14536	0.73
RAD22426	14339	13592	0.95
RAD22485	22540	18243	0.81
RAD22497	36636	31389	0.86
RAD22712	32441	31023	0.96
RAD22741	51768	35176	0.68
RAD22765	15000	14330	0.96
RAD23010	21943	21837	1.00
RAD23074	25757	25448	0.99
RAD2313	64956	64838	1.00
RAD23299	49469	25629	0.52
RAD23462	9776	6359	0.65
RAD23604	17016	12844	0.75
RAD23793	39634	30169	0.76
RAD24124	14817	14588	0.98
RAD24491	58637	57268	0.98
RAD24637	31707	30837	0.97
RAD2481	4873	4821	0.99
RAD24924	17951	17537	0.98
RAD2511	218520	8439	0.04
RAD25234	49590	25277	0.51
RAD25328	29245	28385	0.97
RAD25435	28344	27925	0.99
RAD25668	15604	14971	0.96
RAD25754	37656	36408	0.97
RAD25876	15938	15212	0.95
